,responseTime_unixtimestamp,Attention,Stress
932,1556850101,1,2
933,1556850343,2,-3
934,1556850360,-1,-3
935,1556850440,-2,1
936,1556850604,0,1
937,1556852153,2,1
938,1556852183,1,-1
939,1556852421,-2,0
940,1556852422,-1,1
941,1556852456,-2,-1
942,1556852593,0,0
943,1556852598,1,-2
944,1556852598,1,-2
945,1556852661,-3,-3
946,1556852694,0,0
947,1556852733,3,-3
948,1556852746,1,1
949,1556852958,1,-2
950,1556853018,0,3
951,1556853213,2,-1
952,1556853268,-1,1
953,1556853282,0,0
954,1556853472,2,0
955,1556853644,2,2
956,1556854827,-1,-2
957,1556855085,0,0
958,1556855155,0,-2
959,1556855250,2,1
960,1556855317,0,1
961,1556855460,1,0
962,1556855485,-1,1
963,1556855513,3,-3
964,1556855525,1,-2
965,1556855545,2,0
966,1556855576,1,-2
967,1556855576,1,-2
968,1556855725,-2,-1
969,1556855830,-1,2
970,1556855850,-1,2
971,1556855863,1,-1
972,1556855878,0,-3
973,1556855878,0,-3
974,1556856750,-1,1
975,1556857489,1,-2
976,1556857714,1,0
977,1556857727,0,-2
978,1556857883,0,-1
979,1556858072,0,-2
980,1556858181,0,0
981,1556858400,-3,1
982,1556858416,1,0
983,1556858429,3,-3
984,1556858542,1,0
985,1556858576,2,1
986,1556858617,2,-1
987,1556858618,2,-1
988,1556858695,-1,-1
989,1556858730,2,-1
990,1556858752,-3,1
991,1556858954,1,-3
992,1556859101,-1,1
993,1556859641,1,2
994,1556860052,1,-1
995,1556860293,2,1
996,1556860498,2,3
997,1556860586,2,-2
998,1556860598,1,-1
999,1556861053,3,3
1000,1556861053,3,3
1001,1556861103,0,0
1002,1556861173,1,-2
1003,1556861219,2,-1
1004,1556861238,1,-1
1005,1556861287,-1,1
1006,1556861332,1,0
1007,1556861332,1,0
1008,1556861333,1,0
1009,1556861384,0,-1
1010,1556861441,0,-2
1011,1556862283,1,-1
1012,1556862366,1,-2
1013,1556863150,-1,1
1014,1556863253,2,-2
1015,1556863319,1,1
1016,1556863465,-2,-2
1017,1556863609,0,-1
1018,1556863609,0,-1
1019,1556863641,1,-1
1020,1556863684,1,-2
1021,1556863819,-3,2
1022,1556863880,3,3
1023,1556863880,3,3
1024,1556864020,-3,1
1025,1556864029,-3,-2
1026,1556864059,-1,1
1027,1556864132,2,1
1028,1556864237,0,0
1029,1556864557,0,0
1030,1556864779,3,-3
1031,1556864859,0,1
1032,1556865581,0,2
1033,1556865927,-1,1
1034,1556866038,2,-3
1035,1556866108,2,1
1036,1556866155,0,0
1037,1556866198,1,-2
1038,1556866261,2,1
1039,1556866332,-1,2
1040,1556866351,1,0
1041,1556866371,0,-3
1042,1556866455,-1,-1
1043,1556866540,-2,1
1044,1556866551,1,1
1045,1556866762,-2,1
1046,1556866785,2,2
1047,1556866820,-2,0
1048,1556867119,2,-1
1049,1556867354,0,2
1050,1556867598,-2,1
1051,1556867598,-2,1
1052,1556867827,-1,1
1053,1556868300,-2,2
1054,1556868724,1,2
1055,1556868763,-1,0
1056,1556868770,1,-2
1057,1556868854,3,-3
1058,1556868977,3,-3
1059,1556868981,0,0
1060,1556869220,2,1
1061,1556869293,2,3
1062,1556869345,-3,-1
1063,1556869406,1,-1
1064,1556869476,-1,-1
1065,1556869591,0,-1
1066,1556869674,0,-3
1067,1556869698,-1,0
1068,1556870418,0,0
1069,1556870966,2,1
1070,1556871082,-3,0
1071,1556871255,2,-3
1072,1556871320,-2,-1
1073,1556871320,-2,-1
1074,1556871684,1,1
1075,1556871729,-1,-3
1076,1556871738,2,1
1077,1556871752,-1,0
1078,1556871796,-1,-3
1079,1556871807,1,-1
1080,1556871845,-2,2
1081,1556871873,-2,-1
1082,1556871923,3,-3
1083,1556871934,1,1
1084,1556872071,-2,1
1085,1556872086,1,-2
1086,1556872167,2,-2
1087,1556872200,1,2
1088,1556872299,-3,-1
1089,1556872354,2,-3
1090,1556872379,0,0
1091,1556873218,1,1
1092,1556873783,1,-2
1093,1556874111,-1,-1
1094,1556874322,2,-2
1095,1556874368,-1,-2
1096,1556874376,2,-2
1097,1556874425,0,-1
1098,1556874462,0,3
1099,1556874583,-1,1
1100,1556874603,1,2
1101,1556874612,-1,-1
1102,1556874792,1,0
1103,1556874914,0,0
1104,1556874927,3,-3
1105,1556875126,2,-3
1106,1556875400,0,0
1107,1556875413,0,0
1108,1556876265,2,2
1109,1556876841,-2,2
1110,1556876881,1,-1
1111,1556876892,1,-1
1112,1556877080,2,3
1113,1556877120,1,0
1114,1556877213,0,-2
1115,1556877292,1,0
1116,1556877327,2,1
1117,1556877460,-3,3
1118,1556877559,2,-3
1119,1556877567,0,0
1120,1556877568,-1,0
1121,1556877619,1,-2
1122,1556877619,0,2
1123,1556877633,1,-1
1124,1556877763,-3,3
1125,1556877788,3,3
1126,1556879461,0,-2
1127,1556879489,1,0
1128,1556879702,1,-2
1129,1556879833,0,-1
1130,1556879943,-2,-2
1131,1556879962,-1,-3
1132,1556880001,1,-1
1133,1556880058,1,-1
1134,1556880084,1,-1
1135,1556880163,0,2
1136,1556880174,3,-3
1137,1556880190,2,-3
1138,1556880227,1,1
1139,1556880237,3,-3
1140,1556880433,1,-1
1141,1556880488,2,-3
1142,1556880727,-2,3
1143,1556880727,-2,3
1144,1556880869,1,0
1145,1556881006,0,0
1146,1556881394,1,0
1147,1556881395,1,0
1148,1556882421,1,-2
1149,1556882536,3,-3
1150,1556882710,0,0
1151,1556882731,2,0
1152,1556882737,1,-1
1153,1556882776,1,-2
1154,1556882809,1,-3
1155,1556882833,-2,-3
1156,1556882943,2,-2
1157,1556883138,1,1
1158,1556883770,-1,0
1159,1556885009,-2,-3
1160,1556885013,3,-3
1161,1556885070,-1,2
1162,1556885336,0,-2
1163,1556885389,-1,1
1164,1556885450,3,3
1165,1556885455,-2,-2
1166,1556885579,2,1
